name,description,preconditions,steps,expected_result,priority,status
C_RENT23560_001 - Open Create Group Modal,Verify the Create Group modal opens from the Groups view,User is logged in and on the Groups view,Click the "+ Create Group" button,The Create Group modal is displayed,High,Ready
C_RENT23560_002 - Modal Title Displayed,Verify the modal heading reads "Create Group",The Create Group modal is open,Observe the modal header text,The header text reads "Create Group",Medium,Ready
C_RENT23560_003 - Group Name Field Present,Verify the Group Name field is present,The Create Group modal is open,Locate the Name field,A text input labeled "Group Name" is visible and enabled,High,Ready
C_RENT23560_004 - Group Name Required,Verify submitting with an empty Group Name shows an error,The Create Group modal is open,Leave Name blank | Click "Save",Error "Group name is required" is displayed,High,Ready
C_RENT23560_005 - Group Name Max Length,Verify the Name field enforces 255 characters maximum,The Create Group modal is open,Enter 256 characters in the Name field | Click "Save",Input is capped at 255 or a validation error appears,Medium,Ready
C_RENT23560_006 - Description Field Present,Verify the Description textarea is present,The Create Group modal is open,Locate the Description field,A textarea labeled "Description" is visible,Medium,Ready
C_RENT23560_007 - Description Optional,Verify the group saves when Description is empty,The Create Group modal is open with a valid Name,Leave Description blank | Click "Save",Group is created successfully without a description,Medium,Ready
C_RENT23560_008 - Members Field Present,Verify the Members selection field is present,The Create Group modal is open,Locate the Members field,A multi-select or search-input for Members is visible,High,Ready
C_RENT23560_009 - Add Single Member,Verify a single member can be added to a group,The Create Group modal is open,Click the Members field | Search for a user | Select them | Click "Save",The group is created with one member,High,Ready
C_RENT23560_010 - Add Multiple Members,Verify multiple members can be added at once,The Create Group modal is open,Add three different users via the Members field | Click "Save",The group is created with all three members,High,Ready
C_RENT23560_011 - Remove Member Before Save,Verify a selected member can be removed before saving,The Create Group modal is open with two members added,Click the remove icon on one member chip,The member is removed from the selection; the other remains,High,Ready
C_RENT23560_012 - Cancel Button Closes Modal,Verify Cancel closes the modal without creating a group,The Create Group modal is open with data filled,Click "Cancel",The modal closes; no new group is listed in the Groups view,High,Ready
C_RENT23560_013 - ESC Key Closes Modal,Verify pressing Escape closes the modal,The Create Group modal is open,Press the Escape key,The modal closes without saving,Medium,Ready
C_RENT23560_014 - Save Creates Group,Verify Save creates the group and closes the modal,The Create Group modal has a valid Name and at least one member,Click "Save",Modal closes and the new group appears in the Groups list,High,Ready
C_RENT23560_015 - Duplicate Group Name Warning,Verify a warning appears for duplicate group names,A group named "QA Team" already exists,Enter "QA Team" in the Name field | Click "Save",Warning "A group with this name already exists" is shown,High,Ready
