name,description,preconditions,steps,expected_result,priority,status
C_RENT23562_001 - Grid Renders on Load,Verify the Adaptive Objects Grid renders when the Objects view is opened,User is logged in and has at least one object,Navigate to the Objects view,The grid is displayed showing one row per object,High,Ready
C_RENT23562_002 - Empty State Message,Verify an empty-state message is shown when no objects exist,User is logged in and has zero objects,Navigate to the Objects view,An empty-state message "No objects found" is displayed with a CTA button,High,Ready
C_RENT23562_003 - Column Headers Visible,Verify the grid displays the expected column headers,The Objects view is open with objects present,Observe the grid header row,Columns Name | Type | Tags | Priority | Created By | Created At are all visible,High,Ready
C_RENT23562_004 - Sortable Name Column,Verify clicking the Name column header sorts rows alphabetically,The Objects grid is displayed with multiple objects,Click the "Name" column header,Rows are sorted A-Z; a second click sorts Z-A; the header shows a sort indicator,High,Ready
C_RENT23562_005 - Sortable Created At Column,Verify clicking Created At column sorts rows by date,The Objects grid is displayed with multiple objects,Click the "Created At" column header,Rows are sorted oldest-first; second click reverses to newest-first,Medium,Ready
C_RENT23562_006 - Pagination Controls Visible,Verify pagination controls appear when there are more than one page of results,More than 25 objects exist in the project,Navigate to the Objects view,Pagination controls (Previous | Next | page indicator) are visible at the bottom of the grid,High,Ready
C_RENT23562_007 - Next Page Navigation,Verify clicking Next loads the next page of objects,The grid is on page 1 with multiple pages available,Click the "Next" pagination button,Page 2 objects are loaded; the page indicator updates to "2",High,Ready
C_RENT23562_008 - Search Filters Grid,Verify the search bar filters the grid in real-time,The Objects grid is displayed with multiple objects,Type a partial object name in the search bar,Only objects whose name matches the search string are displayed,High,Ready
C_RENT23562_009 - Search No Results,Verify a no-results message is shown when search finds nothing,The Objects grid is displayed,Type a search string that matches no objects,A "No results for '<query>'" message is displayed,Medium,Ready
C_RENT23562_010 - Type Filter Dropdown,Verify the Type filter narrows the grid to selected types,The Objects grid is displayed with objects of multiple types,Select "Digital" from the Type filter dropdown,Only objects of type "Digital" are shown in the grid,High,Ready
C_RENT23562_011 - Row Click Opens Detail,Verify clicking a grid row navigates to the object detail page,The Objects grid is displayed,Click any row in the grid,The object detail page opens for the selected object,High,Ready
C_RENT23562_012 - Checkbox Selection Single Row,Verify a single row can be selected using its checkbox,The Objects grid is displayed,Click the checkbox on one row,The row is highlighted and the selection count shows "1 selected",High,Ready
C_RENT23562_013 - Checkbox Select All,Verify the header checkbox selects all visible rows,The Objects grid is displayed,Click the header row checkbox,All visible rows are selected and the bulk-action toolbar appears,High,Ready
C_RENT23562_014 - Bulk Delete Action,Verify the bulk-delete action removes all selected objects,At least two objects are selected in the grid,Click "Delete" in the bulk-action toolbar | Confirm the dialog,All selected objects are removed from the grid,High,Ready
C_RENT23562_015 - Column Resizing,Verify grid columns can be resized by dragging the column divider,The Objects grid is displayed,Drag the divider between Name and Type column headers to the right,The Name column width increases; the Type column decreases accordingly,Low,Draft
C_RENT23562_016 - Adaptive Column Width on Resize,Verify the grid reflows columns when the browser window is resized,The Objects grid is displayed in a wide window,Narrow the browser window to 1024 px,Lower-priority columns are hidden or collapsed gracefully; core columns remain visible,Medium,Draft
C_RENT23562_017 - Tags Column Chips Display,Verify tags appear as chips inside the Tags column,An object with three tags exists,Navigate to the Objects grid,The Tags column shows each tag as a distinct chip label for that object's row,Medium,Ready
C_RENT23562_018 - Grid Accessibility Tab Order,Verify all interactive grid elements are reachable via keyboard,The Objects grid is displayed,Press Tab from above the grid through all interactive elements,Focus moves through search → filter → column headers → rows → pagination in logical order; no focus trap,Medium,Draft
