name,description,preconditions,steps,expected_result,priority,status
C_RENT23561_001 - Open Create Object Modal,Verify the Create Object modal opens from the toolbar,User is logged in and on the Objects view,Click the "+ Create Object" button in the toolbar,The Create Object modal is displayed with all fields empty,High,Ready
C_RENT23561_002 - Modal Title Displayed,Verify the modal heading reads "Create Object",The Create Object modal is open,Observe the modal header text,The header text reads "Create Object",Medium,Ready
C_RENT23561_003 - Name Field Present,Verify the Name input field is present in the modal,The Create Object modal is open,Locate the Name input field inside the modal,A text input labeled "Name" is visible and enabled,High,Ready
C_RENT23561_004 - Name Field Required Validation,Verify submitting with an empty Name shows an error,The Create Object modal is open,Leave the Name field blank | Click "Save",An error message "Name is required" appears below the Name field,High,Ready
C_RENT23561_005 - Name Field Max Length,Verify the Name field enforces a maximum of 255 characters,The Create Object modal is open,Enter 256 characters in the Name field | Click "Save",The input is truncated at 255 characters or a validation error is shown,Medium,Ready
C_RENT23561_006 - Type Dropdown Present,Verify the Object Type dropdown is visible,The Create Object modal is open,Locate the Type dropdown in the modal,A dropdown labeled "Type" is visible and enabled,High,Ready
C_RENT23561_007 - Type Dropdown Options,Verify the Type dropdown lists the expected object types,The Create Object modal is open,Click the Type dropdown and observe the available options,All expected object types are listed (Physical | Digital | Service),High,Ready
C_RENT23561_008 - Type Field Required Validation,Verify submitting without selecting a Type shows an error,The Create Object modal is open | Name has been filled,Leave the Type dropdown at its default empty state | Click "Save",An error message "Type is required" is displayed,High,Ready
C_RENT23561_009 - Description Field Present,Verify the Description textarea is present,The Create Object modal is open,Locate the Description textarea,A textarea labeled "Description" is visible,Medium,Ready
C_RENT23561_010 - Description Field Optional,Verify the form saves successfully when Description is empty,The Create Object modal is open,Fill in Name | Select Type | Leave Description blank | Click "Save",The object is created without errors; Description is stored as empty,Medium,Ready
C_RENT23561_011 - Cancel Button Closes Modal,Verify clicking Cancel closes the modal without saving,The Create Object modal is open with some data entered,Fill in the Name field | Click "Cancel",The modal closes and no new object is created,High,Ready
C_RENT23561_012 - ESC Key Closes Modal,Verify pressing Escape closes the modal,The Create Object modal is open,Press the Escape key,The modal closes without saving any data,Medium,Ready
C_RENT23561_013 - Save Button Creates Object,Verify clicking Save creates the object and closes the modal,The Create Object modal is open,Enter a valid Name | Select a Type | Click "Save",The modal closes and the new object appears in the Objects list,High,Ready
C_RENT23561_014 - Duplicate Name Warning,Verify a warning is shown when an object with the same name already exists,An object named "TestObject" already exists,Enter "TestObject" in the Name field | Select a Type | Click "Save",A warning "An object with this name already exists" is displayed,High,Ready
C_RENT23561_015 - Save Spinner Displayed,Verify a loading spinner is shown while the save request is in progress,The Create Object modal is open with valid data,Click "Save" and observe the button state during the request,A spinner or loading indicator is shown on the Save button while the API call is pending,Medium,Ready
C_RENT23561_016 - Error on API Failure,Verify an error message is displayed if the API call fails,The Create Object modal is open | Server returns 500,Enter valid data | Click "Save" | Simulate server error,An error message "Failed to create object. Please try again." is displayed,High,Ready
C_RENT23561_017 - Folder Assignment Field,Verify the modal contains a Folder assignment field,The Create Object modal is open,Locate the Folder field inside the modal,A field labeled "Folder" is visible and allows selection,Medium,Ready
C_RENT23561_018 - Tags Field Present,Verify the Tags multi-select field is present,The Create Object modal is open,Locate the Tags field,A multi-select or tag-input labeled "Tags" is visible,Low,Ready
C_RENT23561_019 - Tags Are Optional,Verify the form saves when no tags are selected,The Create Object modal is open,Enter a valid Name | Select a Type | Leave Tags empty | Click "Save",The object is created successfully without any tags,Low,Ready
C_RENT23561_020 - Multi-tag Selection,Verify multiple tags can be applied to one object,The Create Object modal is open,Click the Tags field | Select three different tags | Click "Save",The new object is created with all three tags attached,Medium,Ready
C_RENT23561_021 - Modal Overlay Click Behavior,Verify clicking the background overlay does not close the modal with unsaved data,The Create Object modal is open with data entered,Click outside the modal on the overlay backdrop,The modal remains open; a confirmation prompt may appear,Medium,Ready
C_RENT23561_022 - Keyboard Navigation,Verify all modal fields can be navigated using Tab,The Create Object modal is open,Press Tab repeatedly from the Name field,Focus moves through Name → Type → Description → Tags → Folder → Cancel → Save in order,Medium,Ready
C_RENT23561_023 - Form Reset on Reopen,Verify the modal fields are empty when reopened after Cancel,The Create Object modal was opened and cancelled,Reopen the Create Object modal,All fields are empty and no previous input is retained,Medium,Ready
C_RENT23561_024 - Accessibility - ARIA Labels,Verify all modal form fields have appropriate ARIA labels,The Create Object modal is open,Inspect each field for aria-label or aria-labelledby attributes,All interactive form elements have ARIA labels matching their visible labels,Low,Draft
C_RENT23561_025 - Object Created Event Emitted,Verify an objectCreated event is emitted after successful creation,The Create Object modal is open | Event listener is attached,Enter valid data | Click "Save",The objectCreated custom event is fired with the new object's ID,Medium,Draft
C_RENT23561_026 - Priority Field Present,Verify the Priority dropdown is shown in the modal,The Create Object modal is open,Locate the Priority dropdown,A dropdown labeled "Priority" is visible with options Low / Medium / High,Medium,Ready
C_RENT23561_027 - Default Priority Value,Verify the Priority dropdown defaults to Medium,The Create Object modal is open,Open the modal and observe the Priority dropdown initial value,Priority defaults to "Medium" without user interaction,Low,Ready
C_RENT23561_028 - Long Name Displays Correctly,Verify a 255-character Name is displayed without truncation in the list view,An object with a 255-character name has been created,Navigate to the Objects list | Locate the newly created object,The full 255-character name is visible or shown with a tooltip on hover,Low,Draft
